,País,Ano,Quantidade,Valor
713,Israel,2018,40354,182017
714,Itália,2018,10154564,34857594
715,Japão,2018,0,0
716,Iugoslávia,2018,0,0
717,Líbano,2018,19742,150044
718,Luxemburgo,2018,5,42
719,Macedônia,2018,0,0
720,Marrocos,2018,0,0
721,México,2018,134,804
722,Moldávia,2018,0,0
723,Montenegro,2018,0,0
724,Noruega,2018,0,0
725,Nova Zelândia,2018,130854,686193
726,Países Baixos (Holanda),2018,283,8719
727,Panamá,2018,0,0
728,Peru,2018,77,653
729,Porto Rico,2018,47,404
730,Portugal,2018,17698831,53237413
731,Reino Unido,2018,4126,51034
732,Republica Dominicana,2018,2,13
733,Romênia,2018,13719,9695
734,Rússia,2018,17483,66160
735,San Marino,2018,0,0
736,Sérvia,2018,0,0
737,Síria,2018,0,0
738,Suazilândia,2018,0,0
739,Suíça,2018,559,7647
740,"Tcheca, República",2018,0,0
741,Tunísia,2018,0,0
742,Turquia,2018,1591,1245
743,Ucrânia,2018,0,0
744,Uruguai,2018,2836574,8467846
745,Não consta na tabela,2018,0,0
746,Não declarados,2018,0,0
747,Outros,2018,0,0
748,Africa do Sul,2019,1092042,3604038
749,Alemanha,2019,101055,412794
750,Argélia,2019,0,0
751,Arábia Saudita,2019,0,0
752,Argentina,2019,16548931,54527380
753,Armênia,2019,0,0
754,Austrália,2019,16292,1214643
755,Áustria,2019,348289,128379
756,Bermudas,2019,0,0
757,Bélgica,2019,7,30
758,Bolívia,2019,0,0
759,Bósnia-Herzegovina,2019,0,0
760,Brasil,2019,29295,246008
761,Bulgária,2019,10944,9915
762,Canada,2019,0,0
763,Chile,2019,52697108,145471294
764,China,2019,317,2458
765,"Coreia do Sul, República",2019,0,0
766,Croácia,2019,450,2900
767,Cuba,2019,0,0
768,Emirados Árabes Unidos,2019,0,0
769,Eslovênia,2019,30968,101190
770,Eslováquia,2019,459,3160
771,Espanha,2019,5797980,17111436
772,Estados Unidos,2019,534870,2400830
773,França,2019,5324383,24299524
774,Geórgia,2019,21748,41161
775,"Geórgia do Sul e Sandwich do Sul, Ilhas",2019,0,0
776,Grécia,2019,21251,70881
777,Hong Kong,2019,0,0
778,Hungria,2019,34591,146500
779,Indonésia,2019,258,1464
780,Irlanda,2019,179,1705
781,Israel,2019,52237,182602
782,Itália,2019,10323254,33355982
783,Japão,2019,153,1429
784,Iugoslávia,2019,0,0
785,Líbano,2019,21836,167358
786,Luxemburgo,2019,0,0
787,Macedônia,2019,1323,874
788,Marrocos,2019,2250,16816
789,México,2019,646,3927
790,Moldávia,2019,0,0
791,Montenegro,2019,1701,5440
792,Noruega,2019,0,0
793,Nova Zelândia,2019,133179,776830
794,Países Baixos (Holanda),2019,634,5297
795,Panamá,2019,17,96
796,Peru,2019,0,0
797,Porto Rico,2019,21,115
798,Portugal,2019,18228699,51444189
799,Reino Unido,2019,4819,46623
800,Republica Dominicana,2019,0,0
801,Romênia,2019,5196,6706
802,Rússia,2019,0,0
803,San Marino,2019,0,0
804,Sérvia,2019,0,0
805,Síria,2019,641,409
806,Suazilândia,2019,0,0
807,Suíça,2019,4510,63619
808,"Tcheca, República",2019,0,0
809,Tunísia,2019,0,0
810,Turquia,2019,0,0
811,Ucrânia,2019,4646,3074
812,Uruguai,2019,2778244,7938059
813,Não consta na tabela,2019,0,0
814,Não declarados,2019,0,0
815,Outros,2019,0,0
816,Africa do Sul,2020,627150,1701072
817,Alemanha,2020,136992,504168
818,Argélia,2020,0,0
819,Arábia Saudita,2020,0,0
820,Argentina,2020,22610267,66322932
821,Armênia,2020,0,0
822,Austrália,2020,212595,792051
823,Áustria,2020,6540,52348
824,Bermudas,2020,0,0
825,Bélgica,2020,0,0
826,Bolívia,2020,0,0
827,Bósnia-Herzegovina,2020,1218,902
828,Brasil,2020,4347,41213
829,Bulgária,2020,23110,58319
830,Canada,2020,0,0
831,Chile,2020,72726186,176540499
832,China,2020,0,0
833,"Coreia do Sul, República",2020,0,0
834,Croácia,2020,0,0
835,Cuba,2020,0,0
836,Emirados Árabes Unidos,2020,0,0
837,Eslovênia,2020,11392,39771
838,Eslováquia,2020,0,0
839,Espanha,2020,7169384,19802061
840,Estados Unidos,2020,366584,2119234
841,França,2020,5658139,24894394
842,Geórgia,2020,20274,42948
843,"Geórgia do Sul e Sandwich do Sul, Ilhas",2020,0,0
844,Grécia,2020,61181,219292
845,Hong Kong,2020,311,2776
